# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:44:00:368,-0.0077,0.0102,0.0123,0.02
23:44:00:380,-0.0077,0.0056,0.0211,0.02
23:44:00:381,-0.0125,0.0009,0.0304,0.03
23:44:00:400,-0.0076,0.0152,0.0346,0.04
23:44:00:419,-0.0076,0.0104,0.0242,0.03
23:44:00:433,-0.0075,0.0057,0.0283,0.03
23:44:00:434,-0.0027,0.0057,0.0233,0.02
23:44:00:435,-0.0123,0.0104,0.0231,0.03
23:44:00:447,-0.0122,0.0008,0.0229,0.03
23:44:00:448,-0.0027,0.0104,0.0227,0.03
23:44:00:449,-0.0169,0.0008,0.0178,0.02
23:44:00:463,-0.0169,-0.0087,0.0127,0.02
23:44:00:463,0.0022,0.0105,0.0316,0.03
23:44:00:466,-0.0026,0.0057,0.0218,0.02
23:44:00:480,-0.0026,0.0104,0.0264,0.03
23:44:00:495,-0.0075,0.0103,0.0211,0.02
23:44:00:514,-0.0076,-0.0040,0.0253,0.03
23:44:00:538,-0.0075,0.0055,0.0198,0.02
23:44:00:553,-0.0076,0.0055,0.0334,0.03
23:44:00:554,-0.0124,-0.0040,0.0331,0.04
23:44:00:554,-0.0076,0.0104,0.0186,0.02
23:44:00:565,-0.0171,0.0104,0.0232,0.03
23:44:00:566,-0.0076,0.0151,0.0182,0.02
23:44:00:577,-0.0075,0.0055,0.0321,0.03
23:44:00:578,-0.0124,0.0056,0.0223,0.03
23:44:00:582,-0.0028,0.0103,0.0221,0.02
23:44:00:594,-0.0077,0.0056,0.0219,0.02
23:44:00:612,-0.0123,-0.0040,0.0120,0.02
23:44:00:617,-0.0075,0.0103,0.0305,0.03
23:44:00:632,0.0021,0.0008,0.0160,0.02
23:44:00:632,-0.0170,0.0103,0.0254,0.03
23:44:00:633,-0.0074,0.0056,0.0204,0.02
23:44:00:650,-0.0122,0.0056,0.0203,0.02
23:44:00:665,-0.0169,0.0056,0.0245,0.03
23:44:00:679,-0.0073,0.0056,0.0284,0.03
23:44:00:680,-0.0121,0.0009,0.0281,0.03
23:44:00:682,-0.0025,-0.0038,0.0279,0.03
23:44:00:695,-0.0073,0.0105,0.0324,0.03
23:44:00:712,-0.0073,0.0057,0.0128,0.02
23:44:00:729,-0.0072,0.0010,0.0216,0.02
23:44:00:746,-0.0023,0.0011,0.0211,0.02
23:44:00:763,0.0024,0.0059,0.0159,0.02
23:44:00:780,-0.0119,0.0154,0.0247,0.03
23:44:00:797,-0.0166,0.0057,0.0145,0.02
23:44:00:813,-0.0022,0.0011,0.0141,0.01
23:44:00:827,-0.0022,0.0105,0.0182,0.02
23:44:00:828,-0.0071,0.0058,0.0228,0.02
23:44:00:833,-0.0119,0.0058,0.0131,0.02
23:44:00:845,-0.0023,0.0058,0.0130,0.01
23:44:00:862,-0.0117,0.0106,0.0174,0.02
23:44:00:872,-0.0023,0.0058,0.0218,0.02
23:44:00:887,0.0025,0.0058,0.0074,0.01
23:44:00:904,-0.0071,0.0058,0.0163,0.02
23:44:00:919,-0.0072,0.0010,0.0207,0.02
23:44:00:919,-0.0119,0.0106,0.0253,0.03
23:44:00:920,-0.0071,0.0059,0.0156,0.02
23:44:00:937,-0.0023,-0.0036,0.0155,0.02
